Fecha,"USDBRL Curncy PX_LAST","USDBRL Curncy PX_LOW","USDBRL Curncy PX_HIGH","USDBRL Curncy PX_OPEN","USDBRLV1W Curncy PX_LAST","USDBRLV1M Curncy PX_LAST","USDBRLV2M Curncy PX_LAST","USDBRLV3M Curncy PX_LAST","USDBRLV6M Curncy PX_LAST","USDBRLV9M Curncy PX_LAST","USDBRLV1Y Curncy PX_LAST","USDBRL25R1W Curncy PX_LAST","USDBRL25R1M Curncy PX_LAST","USDBRL25R2M Curncy PX_LAST","USDBRL25R3M Curncy PX_LAST","USDBRL25R6M Curncy PX_LAST","USDBRL25R9M Curncy PX_LAST","USDBRL25R1Y Curncy PX_LAST","USDBRL25B1W Curncy PX_LAST","USDBRL25B1M Curncy PX_LAST","USDBRL25B2M Curncy PX_LAST","USDBRL25B3M Curncy PX_LAST","USDBRL25B6M Curncy PX_LAST","USDBRL25B9M Curncy PX_LAST","USDBRL25B1Y Curncy PX_LAST","USDBRL10R1W Curncy PX_LAST","USDBRL10R1M Curncy PX_LAST","USDBRL10R2M Curncy PX_LAST","USDBRL10R3M Curncy PX_LAST","USDBRL10R6M Curncy PX_LAST","USDBRL10R9M Curncy PX_LAST","USDBRL10R1Y Curncy PX_LAST","USDBRL10B1W Curncy PX_LAST","USDBRL10B1M Curncy PX_LAST","USDBRL10B2M Curncy PX_LAST","USDBRL10B3M Curncy PX_LAST","USDBRL10B6M Curncy PX_LAST","USDBRL10B9M Curncy PX_LAST","USDBRL10B1Y Curncy PX_LAST","BCN1W Curncy PX_LAST","BCN1M Curncy PX_LAST","BCN2M Curncy PX_LAST","BCN3M Curncy PX_LAST","BCN6M Curncy PX_LAST","BCN9M Curncy PX_LAST","BCN12M Curncy PX_LAST"
2010-01-25,1.821,1.803,1.8241,1.8168,16.18,15.87,15.94,16.05,16.435,16.985,17.57,3.0625,3.375,3.93,4.3725,5.2275,5.4275,5.4475,0.725,0.765,0.875,0.98,1.115,1.215,1.295,5.7525,6.64,7.6775,8.45,10.2275,10.4725,10.6575,2.39,2.4025,2.635,2.85,3.295,3.565,3.905,24.5,100,205,330.5,720.5,1128.5,1563.5
2010-01-26,1.8353,1.8207,1.8494,1.823,17.29,16.962,16.82,16.725,16.875,17.305,17.81,3.105,3.465,4.11,4.4875,5.2325,5.6025,5.4575,0.72,0.845,0.955,0.99,1.165,1.235,1.31,5.7925,6.7375,7.8825,8.6675,10.2275,10.5225,10.7075,2.34,2.475,2.73,2.95,3.365,3.61,3.9,24.5,105.24,160.25,289.75,682.75,1100.75,1528.75
2010-01-27,1.858,1.8316,1.8698,1.8362,18.21,17.56,17.435,17.35,17.4,17.59,17.93,3.0675,3.5625,4.215,4.67,5.5125,5.76,5.6625,0.725,0.83,0.94,1.02,1.175,1.25,1.33,5.75,6.845,8.0125,8.8775,10.6025,10.84,10.9725,2.365,2.485,2.74,2.955,3.365,3.61,3.89,23,105.99,254.5,351.75,686.5,1096.5,1532.5
2010-01-28,1.872,1.8447,1.8779,1.8578,18.22,17.722,17.592,17.448,17.417,17.6925,18.077,2.955,3.445,4.1475,4.6425,5.505,5.63,5.6275,0.68,0.7525,0.86,0.9625,1.115,1.1975,1.2875,5.39,6.46,7.7425,8.68,10.39,10.605,10.7075,2.175,2.2325,2.4975,2.75,3.1825,3.4475,3.75,22.25,107.49,208,309.5,702.5,1099.5,1513.5
2010-01-29,1.895,1.8563,1.8969,1.8729,17.775,17.46,17.38,17.255,17.34,17.66,18.085,3.065,3.3075,3.9425,4.5625,5.4425,5.7875,5.5925,0.745,0.78,0.95,1.02,1.17,1.235,1.305,5.8075,6.61,7.85,8.9225,10.6475,10.895,11.0275,2.43,2.555,2.825,3.015,3.425,3.65,3.895,23.5,110.5,117,227,619.5,1030.5,1453.5
2010-02-01,1.8481,1.8469,1.8932,1.8875,17.525,17.173,17.263,17.193,17.243,17.53,17.932,2.905,2.98,3.865,4.42,5.3175,5.425,5.5125,0.69,0.6725,0.7975,0.915,1.055,1.14,1.23,5.4175,5.7,7.335,8.335,10.2025,10.45,10.6225,2.15,2.1275,2.4075,2.635,3.1175,3.385,3.6625,23.5,102.49,204,301.5,693,1084,1503
2010-02-02,1.8297,1.824,1.8557,1.851,17.11,16.868,16.847,16.875,17.097,17.44,17.83,2.43,2.5525,3.5275,4.035,5.005,5.15,5.2375,0.695,0.6725,0.7875,0.915,1.0475,1.1275,1.2175,4.295,4.69,6.53,7.465,9.3475,9.67,9.855,2.2,2.1775,2.415,2.715,3.1475,3.4325,3.7475,23.25,93,201.99,316,710.5,1103.5,1521.5
2010-02-03,1.8525,1.8176,1.857,1.8294,17.0675,16.903,16.915,16.868,16.943,17.3375,17.757,2.83,2.8725,3.675,4.175,5.0925,5.465,5.2875,0.75,0.7475,0.8825,1.025,1.1325,1.1925,1.255,5.795,5.905,7.3175,8.2525,10.025,10.295,10.4725,2.635,2.6875,2.9375,3.1575,3.5625,3.7925,4.0175,23.5,88.99,194.5,300.5,698,1098,1469.5
2010-02-04,1.8769,1.8459,1.8975,1.8459,18.035,17.467,17.373,17.347,17.345,17.5925,18.03,2.7125,2.81,3.625,4.0775,5.0475,5.225,5.245,0.67,0.665,0.785,0.915,1.0425,1.115,1.19,5.1025,5.3125,6.8175,7.675,9.5575,9.83,10.015,2.18,2.1875,2.4325,2.75,3.2,3.465,3.7275,32,85.5,206,303.01,683,1082.5,1498.5
2010-02-05,1.8793,1.8619,1.8944,1.8831,18.065,17.775,17.605,17.565,17.525,17.715,18.07,2.955,3.045,3.7675,4.1275,5.0875,5.4825,5.2975,0.78,0.77,0.9,0.97,1.07,1.185,1.19,5.8125,6.3425,7.53,8.3225,10.0275,10.3,10.465,2.6,2.83,3.075,3.26,3.655,3.875,4.09,29,103.49,223.49,361,756,1159,1576
2010-02-08,1.8755,1.8634,1.8894,1.8841,16.94,17.483,17.54,17.48,17.42,17.645,18.065,2.7675,3.0375,3.79,4.1525,5.1175,5.5525,5.3325,0.7,0.75,0.895,0.925,1.07,1.19,1.195,5.5725,6.0875,7.48,8.3075,10.17,10.48,10.66,2.365,2.4675,2.765,2.985,3.415,3.65,3.865,25,95,220,338.5,677.5,1082.5,1508.5
