Fecha,"EURBRL Curncy PX_LAST","EURBRL Curncy PX_LOW","EURBRL Curncy PX_HIGH","EURBRL Curncy PX_OPEN","EURBRLV1W Curncy PX_LAST","EURBRLV1M Curncy PX_LAST","EURBRLV2M Curncy PX_LAST","EURBRLV3M Curncy PX_LAST","EURBRLV6M Curncy PX_LAST","EURBRLV9M Curncy PX_LAST","EURBRLV1Y Curncy PX_LAST","EURBRL25R1W Curncy PX_LAST","EURBRL25R1M Curncy PX_LAST","EURBRL25R2M Curncy PX_LAST","EURBRL25R3M Curncy PX_LAST","EURBRL25R6M Curncy PX_LAST","EURBRL25R9M Curncy PX_LAST","EURBRL25R1Y Curncy PX_LAST","EURBRL25B1W Curncy PX_LAST","EURBRL25B1M Curncy PX_LAST","EURBRL25B2M Curncy PX_LAST","EURBRL25B3M Curncy PX_LAST","EURBRL25B6M Curncy PX_LAST","EURBRL25B9M Curncy PX_LAST","EURBRL25B1Y Curncy PX_LAST","EURBRL10R1W Curncy PX_LAST","EURBRL10R1M Curncy PX_LAST","EURBRL10R2M Curncy PX_LAST","EURBRL10R3M Curncy PX_LAST","EURBRL10R6M Curncy PX_LAST","EURBRL10R9M Curncy PX_LAST","EURBRL10R1Y Curncy PX_LAST","EURBRL10B1W Curncy PX_LAST","EURBRL10B1M Curncy PX_LAST","EURBRL10B2M Curncy PX_LAST","EURBRL10B3M Curncy PX_LAST","EURBRL10B6M Curncy PX_LAST","EURBRL10B9M Curncy PX_LAST","EURBRL10B1Y Curncy PX_LAST","EURBRL1W Curncy PX_LAST","EURBRL1M Curncy PX_LAST","EURBRL2M Curncy PX_LAST","EURBRL3M Curncy PX_LAST","EURBRL6M Curncy PX_LAST","EURBRL9M Curncy PX_LAST","EURBRL12M Curncy PX_LAST"
2010-01-26,2.585,2.5663,2.5995,2.57,13.08,12.852,13.02,13.563,13.873,14.8,15.755,1.4175,1.4,2.865,3.79,5.7475,6.055,6.21,0.66,0.685,0.7675,0.895,1.0675,1.1975,1.375,2.48,2.575,5.3075,7.1575,11.09,11.7275,11.925,2.11,1.995,2.21,2.575,2.9675,3.3775,3.99,34.1,139.7,295.9,445.3,975.3,1538.6,2114.6
2010-01-27,2.6075,2.5764,2.6237,2.5806,13.44,13.28,13.43,14.188,14.552,15.11,15.837,1.4575,1.765,3.11,3.9725,6.03,6.2575,6.4075,0.6625,0.69,0.775,0.905,1.0875,1.215,1.39,2.5525,3.2525,5.76,7.5,11.64,12.1175,12.3,2.11,2.0025,2.2175,2.585,2.9875,3.3975,4.005,33.95,139.25,294.5,443.15,969.35,1527.85,2101.5
2010-01-28,2.6162,2.5844,2.623,2.6011,13.965,13.49,13.585,14.042,14.538,15.205,15.84,1.45,1.885,3.135,4.1375,6.1525,6.2825,6.425,0.66,0.695,0.775,0.91,1.0925,1.2175,1.39,2.5375,3.47,5.805,7.815,11.8725,12.1725,12.335,2.11,2.005,2.2175,2.59,2.9925,3.3975,4.0075,31,123.35,297.95,441.6,961.2,1499.6,2053.55
2010-01-29,2.6281,2.5931,2.6299,2.614,13.378,13.257,13.327,13.813,14.387,14.85,15.515,1.45,1.92,3.13,4.235,6.1175,6.24,6.425,0.66,0.695,0.7725,0.9075,1.0925,1.21,1.385,2.5375,3.535,5.795,7.9975,11.805,12.0875,12.335,2.11,2.005,2.2175,2.5875,2.99,3.39,4,32.15,127.85,298.3,439.55,947.1,1483.55,2035.25
2010-02-01,2.5715,2.5714,2.6361,2.6338,12.795,12.993,13.26,13.773,14.297,14.7825,15.378,1.3225,1.7075,2.915,3.89,5.825,6.02,6.2775,NULL,0.69,0.77,0.9,1.0775,1.1975,1.3725,2.3175,3.1425,5.395,7.345,11.2425,11.6625,12.0525,NULL,2,2.2125,2.58,2.9775,3.3775,3.9875,32.3,131.35,294,432.1,945.65,1469.35,2027.85
2010-02-02,2.5549,2.5477,2.5813,2.576,12.695,12.755,13.045,13.538,13.79,14.4625,15.165,0.95,1.59,2.945,3.8425,5.8775,5.895,6.1675,NULL,0.69,0.77,0.8975,1.0725,1.1825,1.36,1.6625,2.93,5.455,7.255,11.34,11.4225,11.8425,NULL,2,2.21,2.5775,2.9725,3.3625,3.9775,32.3,128.9,279.7,427.7,946.75,1464.4,2019
2010-02-03,2.5758,2.5424,2.5801,2.5613,12.83,12.622,12.88,13.405,13.695,14.4225,15.16,1.7825,1.8675,2.7375,3.7025,5.9125,5.9,6.145,NULL,0.69,0.765,0.8925,1.0725,1.1825,1.36,3.125,3.4375,5.07,6.9925,11.41,11.4325,11.7975,NULL,2.0025,2.2075,2.5725,2.9725,3.3625,3.975,32.15,129.7,274.25,433.05,958.9,1483.65,2032.25
2010-02-04,2.5796,2.5681,2.6089,2.5681,13.345,13.163,13.43,14.06,14.323,14.9275,15.593,1.785,1.91,2.775,3.6675,5.9125,5.8825,6.11,NULL,0.695,0.765,0.895,1.0825,1.1925,1.365,3.125,3.515,5.14,6.92,11.41,11.3975,11.73,NULL,2.005,2.21,2.575,2.98,3.3725,3.98,43.5,135.05,298.65,453.9,974.05,1495.05,2051.6
2010-02-05,2.5624,2.5586,2.5966,2.5728,12.975,12.795,13.205,13.37,13.88,14.5875,15.323,1.9525,1.96,2.955,3.8625,6.16,6.2975,6.4625,NULL,0.695,0.77,0.8975,1.085,1.2075,1.385,3.42,3.605,5.475,7.2925,11.885,12.1975,12.4075,NULL,2.005,2.2125,2.5775,2.985,3.3875,4,39.2,137.45,299.6,444.2,957,1480,2040.1
2010-02-08,2.5646,2.5426,2.579,2.5788,11.065,12.51,13.092,13.28,13.682,14.4325,15.195,1.915,2.16,2.9725,3.7825,6.135,6.2975,6.4875,NULL,0.695,0.77,0.895,1.0825,1.205,1.3825,3.3475,3.975,5.505,7.145,11.8375,12.1975,12.4575,NULL,2.005,2.2125,2.575,2.9825,3.3875,3.9975,34,136.05,295,435.9,958.55,1481.25,2046.85
2010-02-09,2.5445,2.5353,2.5804,2.5723,10.2,12.05,12.415,12.855,13.4,14.2325,15.047,1.87,1.9625,2.77,3.5725,5.9025,6.08,6.2875,NULL,0.69,0.7625,0.885,1.0675,1.19,1.365,3.2725,3.6125,5.1325,6.7475,11.3875,11.7775,12.0675,NULL,2.005,2.205,2.565,2.9675,3.3725,3.9825,33.45,134.25,284.85,430.95,946.05,1475.15,2022.35
2010-02-10,2.5499,2.5326,2.551,2.5472,10.01,11.985,12.415,12.79,13.45,14.3025,15.128,1.785,2.0475,2.88,3.72,5.8025,6.005,6.2825,0.655,0.645,0.765,0.845,0.9975,1.1375,1.3175,3.125,3.7725,5.3275,7.0275,11.2,11.635,12.0625,1.97,1.8625,2.285,2.59,3.0375,3.4575,3.9275,31.95,129.65,271.5,428.05,942.45,1459,2015.2
2010-02-11,2.5272,2.5192,2.5512,2.5512,8.615,11.48,12.14,12.625,13.425,14.3475,15.222,1.785,1.9975,2.725,3.555,5.5525,5.705,5.8325,0.66,0.645,0.76,0.84,0.9875,1.1225,1.29,3.1225,3.68,5.045,6.7125,10.72,11.055,11.195,1.965,1.86,2.2825,2.585,3.0275,3.4425,3.9,35.95,144.25,300.6,440.5,950.15,1446.1,2011.85
